Customer Name,Address,Product Code,Product Name,Invoice Date,Quantity,Qty (Pcs),Price,Gross Amount,DPP,Tax,Net Amount
A MART,DEPAN RSUD MERAUKE,NICE-011,NICE FKILO 700G,2024-01-03,1.0.0,20.0,534545.5,534545.5,534545.5,58800.01,593346.0
A MART,DEPAN RSUD MERAUKE,NICE-011,NICE FKILO 700G,2024-01-29,1.0.0,20.0,534545.5,534545.5,526527.32,57918.0,584445.0
A MART,DEPAN RSUD MERAUKE,NICE-011,NICE FKILO 700G,2024-02-26,1.0.0,20.0,534545.5,534545.5,534545.5,58800.01,593346.0
A MART,DEPAN RSUD MERAUKE,NICE-016,NICE FSP 180S GT,2024-01-29,2.0.0,120.0,337090.9,674181.8,674181.8,74160.0,748342.0
A MART,DEPAN RSUD MERAUKE,NICE-016,NICE FSP 180S GT,2024-02-13,1.0.0,60.0,337090.9,337090.9,337090.9,37080.0,374171.0
A MART,DEPAN RSUD MERAUKE,NICE-025,NICE FSP 250S GT NEW,2024-01-15,1.0.0,36.0,274909.1,274909.1,274909.1,30240.0,305149.0
A MART,DEPAN RSUD MERAUKE,NICE-025,NICE FSP 250S GT NEW,2024-01-29,2.0.0,72.0,274909.1,549818.2,549818.2,60480.0,610298.0
A MART,DEPAN RSUD MERAUKE,NICE-025,NICE FSP 250S GT NEW,2024-02-26,3.0.0,108.0,274909.1,824727.3,824727.3,90720.0,915447.0
A MART,DEPAN RSUD MERAUKE,NICE-025,NICE FSP 250S GT NEW,2024-03-23,1.0.0,36.0,274909.1,274909.1,274909.1,30240.0,305149.0
A MART,DEPAN RSUD MERAUKE,NICE-028,Nice Living Facial Kiloan 2000 Helai GT,2024-01-03,1.0.0,20.0,718729.7,718729.7,718729.7,79060.27,797790.0
A MART,DEPAN RSUD MERAUKE,NICE-028,Nice Living Facial Kiloan 2000 Helai GT,2024-02-12,1.0.0,20.0,718729.7,718729.7,718729.7,79060.27,797790.0
A MART,DEPAN RSUD MERAUKE,NICE-4375,NICE LIVING FSP 360 HELAI GT,2024-03-23,1.0.0,60.0,337090.9,337090.9,337090.9,37080.0,374171.0
A MART,DEPAN RSUD MERAUKE,PASEO-020,PASEO SMRT FHSTD NPERF 6P 12S,2024-01-15,1.0.0,40.0,169425.5,169425.5,169425.5,18636.81,188062.0
A MART,DEPAN RSUD MERAUKE,PASEO-032,PASEO ELG TWLR WHT TIPTOTIP 3R 70S,2024-01-29,1.0.0,6.0,148772.73,148772.73,148772.73,16365.0,165138.0
A MART,DEPAN RSUD MERAUKE,PASEO-036,PASEO SMRT FTP 50S GT,2024-01-15,1.0.0,80.0,148000.0,148000.0,148000.0,16280.0,164280.0
A MART,DEPAN RSUD MERAUKE,PASEO-036,PASEO SMRT FTP 50S GT,2024-03-23,1.0.0,80.0,148000.0,148000.0,148000.0,16280.0,164280.0
A MART,DEPAN RSUD MERAUKE,PASEO-037,PASEO PRSO FSP 130S,2024-01-15,1.0.0,40.0,572218.2,572218.2,572218.2,62944.0,635162.0
A MART,DEPAN RSUD MERAUKE,PASEO-037,PASEO PRSO FSP 130S,2024-02-26,1.0.0,40.0,572218.2,572218.2,572218.2,62944.0,635162.0
A MART,DEPAN RSUD MERAUKE,PASEO-039,PASEO B WIPES GAZETTE 50S B1 G1,2024-01-29,1.0.0,18.0,162162.2,162162.2,162162.2,17837.84,180000.0
A MART,DEPAN RSUD MERAUKE,PASEO-039,PASEO B WIPES GAZETTE 50S B1 G1,2024-03-23,1.0.0,18.0,162162.2,162162.2,162162.2,17837.84,180000.0
A MART,DEPAN RSUD MERAUKE,PASEO-052,PASEO B WIPES GAZETTE JOJOBA 50S B1 G1,2024-01-15,1.0.0,18.0,162162.2,162162.2,162162.2,17837.84,180000.0
A MART,DEPAN RSUD MERAUKE,PASEO-052,PASEO B WIPES GAZETTE JOJOBA 50S B1 G1,2024-03-23,1.0.0,18.0,162162.2,162162.2,162162.2,17837.84,180000.0
A MART,DEPAN RSUD MERAUKE,PASEO-054,PASEO AB WET WIPES GAZETTE 50S,2024-01-03,2.0.0,36.0,126000.0,252000.0,252000.0,27720.0,279720.0
A MART,DEPAN RSUD MERAUKE,PASEO-054,PASEO AB WET WIPES GAZETTE 50S,2024-02-12,1.0.0,18.0,126000.0,126000.0,126000.0,13860.0,139860.0
A MART,DEPAN RSUD MERAUKE,PASEO-066,PASEO COOKING TWL CA 2R 70S,2024-01-29,1.0.0,20.0,378162.2,378162.2,378162.2,41597.84,419760.0
A MART,DEPAN RSUD MERAUKE,PASEO-070,PASEO SMRT FSP 540 PLY GT,2024-02-26,3.0.0,144.0,439418.2,1318254.6,1318254.6,145008.01,1463263.0
A MART,DEPAN RSUD MERAUKE,PASEO-070,PASEO SMRT FSP 540 PLY GT,2024-03-23,1.0.0,48.0,439418.2,439418.2,439418.2,48336.0,487754.0
A MART,DEPAN RSUD MERAUKE,Paseo-053.,PASEO AB WET WIPES GAZETTE 25S B1 G1 1100,2024-01-15,1.0.0,18.0,126000.0,126000.0,126000.0,13860.0,139860.0
A MART,DEPAN RSUD MERAUKE,Paseo-053.,PASEO AB WET WIPES GAZETTE 25S B1 G1 1100,2024-03-23,1.0.0,18.0,126000.0,126000.0,126000.0,13860.0,139860.0
ABDUL RAHMAN / NAKES,JL DOREMKAI,NICE-013,NICE FTP 60S,2024-02-29,3.0.0,288.0,288349.09,865047.27,865047.27,95155.2,960202.0
ABDUL RAHMAN / NAKES,JL DOREMKAI,PASEO-006,PASEO ELG FSP 250S,2024-02-29,5.0.0,200.0,579600.0,2898000.0,2898000.0,318780.0,3216780.0
ABDUL RAHMAN / NAKES,JL DOREMKAI,PASEO-036,PASEO SMRT FTP 50S GT,2024-02-29,5.0.0,400.0,148000.0,740000.0,740000.0,81400.0,821400.0
ABDUL RASYID MAJID (KIOS SUMBER MAS,JL.. MAYIR WIRATNO,NICE-028,Nice Living Facial Kiloan 2000 Helai GT,2024-02-21,3.0.0,60.0,718729.7,2156189.1,2156189.1,237180.8,2393370.0
ABDUL RASYID MAJID (KIOS SUMBER MAS,JL.. MAYIR WIRATNO,PASEO-039,PASEO B WIPES GAZETTE 50S B1 G1,2024-03-06,10.0.0,180.0,162162.2,1621622.0,1621622.0,178378.42,1800000.0
ABDUL RASYID MAJID (KIOS SUMBER MAS,JL.. MAYIR WIRATNO,PASEO-070,PASEO SMRT FSP 540 PLY GT,2024-01-18,20.0.0,960.0,439418.2,8788364.0,8788364.0,966720.04,9755084.0
ABDUL RASYID MAJID (KIOS SUMBER MAS,JL.. MAYIR WIRATNO,PASEO-070,PASEO SMRT FSP 540 PLY GT,2024-02-21,10.0.0,480.0,439418.2,4394182.0,4394182.0,483360.02,4877542.0
ABDUL RASYID MAJID (KIOS SUMBER MAS,JL.. MAYIR WIRATNO,PASEO-070,PASEO SMRT FSP 540 PLY GT,2024-03-21,20.0.0,960.0,439418.2,8788364.0,8788364.0,966720.04,9755084.0
ABEL,MERAUKE,PASEO-070,PASEO SMRT FSP 540 PLY GT,2024-01-17,1.0.0,48.0,439418.2,439418.2,439418.2,48336.0,487754.0
ACING (SUHARDI),JL. NATUNA RT.007 RW.002,NICE-028,Nice Living Facial Kiloan 2000 Helai GT,2024-03-07,2.0.0,40.0,718729.7,1437459.4,1437459.4,158120.53,1595580.0
ACING (SUHARDI),JL. NATUNA RT.007 RW.002,NICE-028,Nice Living Facial Kiloan 2000 Helai GT,2024-03-21,5.0.0,100.0,718729.7,3593648.5,3593648.5,395301.34,3988950.0
ACING (SUHARDI),JL. NATUNA RT.007 RW.002,PASEO-070,PASEO SMRT FSP 540 PLY GT,2024-01-15,2.0.0,96.0,439418.2,878836.4,878836.4,96672.0,975508.0
ACING (SUHARDI),JL. NATUNA RT.007 RW.002,PASEO-070,PASEO SMRT FSP 540 PLY GT,2024-02-15,7.0.0,336.0,439418.2,3075927.4,3075927.4,338352.01,3414279.0
ACING (SUHARDI),JL. NATUNA RT.007 RW.002,PASEO-070,PASEO SMRT FSP 540 PLY GT,2024-03-07,5.0.0,240.0,439418.2,2197091.0,2197091.0,241680.01,2438771.0
ACING (SUHARDI),JL. NATUNA RT.007 RW.002,PASEO-070,PASEO SMRT FSP 540 PLY GT,2024-03-21,5.0.0,240.0,439418.2,2197091.0,2197091.0,241680.01,2438771.0
ACING (SUHARDI),JL. NATUNA RT.007 RW.002,Paseo-053.,PASEO AB WET WIPES GAZETTE 25S B1 G1 1100,2024-02-15,1.0.0,18.0,126000.0,126000.0,126000.0,13860.0,139860.0
